strata,year,biomass,cv
CGOA (0-500 m),1984,43884.2,0.084804606347288
CGOA (0-500 m),1987,23326.6,0.11920841913208356
CGOA (0-500 m),1990,11294.8,0.16853208310967335
CGOA (0-500 m),1993,24619.5,0.11938724489549875
CGOA (0-500 m),1996,37934.6,0.07763562766311968
CGOA (0-500 m),1999,43752.6,0.060118568657288145
CGOA (0-500 m),2001,44219.299999999996,0.05983703042790908
CGOA (0-500 m),2003,92810.3,0.07714198355272604
CGOA (0-500 m),2005,62041.700000000004,0.04894836432416849
CGOA (0-500 m),2007,41435.3,0.06658360700634439
CGOA (0-500 m),2009,43604.2,0.059982998020787506
CGOA (0-500 m),2011,48323.1,0.07440605968117919
CGOA (0-500 m),2013,64870.5,0.0826809477521124
CGOA (0-500 m),2015,75595.4,0.07719154473823397
CGOA (0-500 m),2017,67311.3,0.07668939271729122
CGOA (0-500 m),2019,60519,0.07183380023491333
CGOA (0-500 m),2021,48695.3,0.09670907495614468
CGOA (501-700 m),1984,4002,0.1598074277420184
CGOA (501-700 m),1987,4588.5,0.20163500623667993
CGOA (501-700 m),1990,NA,NA
CGOA (501-700 m),1993,NA,NA
CGOA (501-700 m),1996,NA,NA
CGOA (501-700 m),1999,6724.8,0.14076208469661608
CGOA (501-700 m),2001,NA,NA
CGOA (501-700 m),2003,10462.5,0.41281261650427437
CGOA (501-700 m),2005,6727.8,0.12351319244119822
CGOA (501-700 m),2007,8961.6,0.1756833092116944
CGOA (501-700 m),2009,5364.6,0.2254030757185614
CGOA (501-700 m),2011,6884.5,0.13403099527674223
CGOA (501-700 m),2013,8195.5,0.2623636028915057
CGOA (501-700 m),2015,4666.4,0.12606891803734638
CGOA (501-700 m),2017,4844.5,0.1719428528672717
CGOA (501-700 m),2019,6014.6,0.16720308654829416
CGOA (501-700 m),2021,7600.5,0.1912747236487034
CGOA (701-1000 m),1984,6996.4,0.19915901747219653
CGOA (701-1000 m),1987,3421.8,0.3887733869487818
CGOA (701-1000 m),1990,NA,NA
CGOA (701-1000 m),1993,NA,NA
CGOA (701-1000 m),1996,NA,NA
CGOA (701-1000 m),1999,2930,0.15269865052099735
CGOA (701-1000 m),2001,NA,NA
CGOA (701-1000 m),2003,NA,NA
CGOA (701-1000 m),2005,8262,0.1972778008669775
CGOA (701-1000 m),2007,7735.5,0.1447085513244101
CGOA (701-1000 m),2009,3469.2,0.36121536973199636
CGOA (701-1000 m),2011,NA,NA
CGOA (701-1000 m),2013,NA,NA
CGOA (701-1000 m),2015,7214.1,0.09058397133358094
CGOA (701-1000 m),2017,NA,NA
CGOA (701-1000 m),2019,NA,NA
CGOA (701-1000 m),2021,NA,NA
EGOA (0-500 m),1984,15151.6,0.09041289946343449
EGOA (0-500 m),1987,31466,0.08482992578405295
EGOA (0-500 m),1990,26693.8,0.0741536332817504
EGOA (0-500 m),1993,36694.4,0.06461515971288662
EGOA (0-500 m),1996,60883.799999999996,0.07907625301507419
EGOA (0-500 m),1999,57411.8,0.06911365810188226
EGOA (0-500 m),2001,NA,NA
EGOA (0-500 m),2003,48995.2,0.058267346176436766
EGOA (0-500 m),2005,48156.8,0.04676351458287189
EGOA (0-500 m),2007,57406.200000000004,0.07376050704897448
EGOA (0-500 m),2009,43509.3,0.047469371088666515
EGOA (0-500 m),2011,52870.2,0.0668290338865091
EGOA (0-500 m),2013,54487.8,0.07974856514693146
EGOA (0-500 m),2015,52275.4,0.08496147759536396
EGOA (0-500 m),2017,63423.200000000004,0.08852754304341835
EGOA (0-500 m),2019,51388.3,0.0929133491812986
EGOA (0-500 m),2021,43546.799999999996,0.07519174461952159
EGOA (501-700 m),1984,3639.1,0.06517977051880061
EGOA (501-700 m),1987,5217.6,0.36133256773436023
EGOA (501-700 m),1990,NA,NA
EGOA (501-700 m),1993,NA,NA
EGOA (501-700 m),1996,NA,NA
EGOA (501-700 m),1999,2837.8999999999996,0.21416195514442346
EGOA (501-700 m),2001,NA,NA
EGOA (501-700 m),2003,5011.1,0.2346714937836437
EGOA (501-700 m),2005,5107.6,0.17566602056084515
EGOA (501-700 m),2007,4857.700000000001,0.20302320450528585
EGOA (501-700 m),2009,6820.4,0.138676576700461
EGOA (501-700 m),2011,4334.299999999999,0.18427237797487536
EGOA (501-700 m),2013,3568.8999999999996,0.12075911888403804
EGOA (501-700 m),2015,4374.4,0.30232510672179796
EGOA (501-700 m),2017,4300.8,0.15046520040787048
EGOA (501-700 m),2019,3827.2,0.1759839877808139
EGOA (501-700 m),2021,5442.7,0.2193690309709739
EGOA (701-1000 m),1984,814,1.2285012285012285e-4
EGOA (701-1000 m),1987,NA,NA
EGOA (701-1000 m),1990,NA,NA
EGOA (701-1000 m),1993,NA,NA
EGOA (701-1000 m),1996,NA,NA
EGOA (701-1000 m),1999,1921.7,0.344085727060171
EGOA (701-1000 m),2001,NA,NA
EGOA (701-1000 m),2003,NA,NA
EGOA (701-1000 m),2005,2408,0.2557005235636048
EGOA (701-1000 m),2007,4241.3,0.19056217836284126
EGOA (701-1000 m),2009,4820.7,0.018687676557724995
EGOA (701-1000 m),2011,NA,NA
EGOA (701-1000 m),2013,NA,NA
EGOA (701-1000 m),2015,3685.5,0.00532841102736053
EGOA (701-1000 m),2017,NA,NA
EGOA (701-1000 m),2019,NA,NA
EGOA (701-1000 m),2021,NA,NA
WGOA (0-500 m),1984,9783.7,0.14302938248580496
WGOA (0-500 m),1987,9544.4,0.3963973537837829
WGOA (0-500 m),1990,1689.9,0.39816153785758734
WGOA (0-500 m),1993,3705.9,0.22197793765212515
WGOA (0-500 m),1996,8669.800000000001,0.14195248007118302
WGOA (0-500 m),1999,7115.0999999999995,0.22898947818175794
WGOA (0-500 m),2001,8752.8,0.17074708974383127
WGOA (0-500 m),2003,16034.699999999999,0.16744239694056526
WGOA (0-500 m),2005,14754,0.1547919216897594
WGOA (0-500 m),2007,7633.5999999999995,0.1395495260984732
WGOA (0-500 m),2009,12632.2,0.20481179023723
WGOA (0-500 m),2011,4001.6,0.15390171797111193
WGOA (0-500 m),2013,6599.9000000000005,0.19963430793416648
WGOA (0-500 m),2015,10310.5,0.153536040129125
WGOA (0-500 m),2017,12785.2,0.19374301192867688
WGOA (0-500 m),2019,14025.5,0.1352029058517209
WGOA (0-500 m),2021,10656.7,0.3609651417022431
WGOA (501-700 m),1984,3053.2,0.23277325675974547
WGOA (501-700 m),1987,2317.4,0.5168321345762514
WGOA (501-700 m),1990,NA,NA
WGOA (501-700 m),1993,NA,NA
WGOA (501-700 m),1996,NA,NA
WGOA (501-700 m),1999,5389.3,0.15252845189761277
WGOA (501-700 m),2001,NA,NA
WGOA (501-700 m),2003,5886.6,0.2903266966358377
WGOA (501-700 m),2005,6377.3,0.08037885755431431
WGOA (501-700 m),2007,2589.9,0.1450639583125857
WGOA (501-700 m),2009,5605.4,0.22210497585137276
WGOA (501-700 m),2011,2271.7,0.6641916153042213
WGOA (501-700 m),2013,2738.6,0.08457877821244954
WGOA (501-700 m),2015,2732.7,0.19538788337639781
WGOA (501-700 m),2017,2739.6,0.3869845308281555
WGOA (501-700 m),2019,7991.7,0.48043868200814677
WGOA (501-700 m),2021,4268.7,0.20060932054633412
WGOA (701-1000 m),1984,2024.1,0.45968869740744256
WGOA (701-1000 m),1987,577.1,0.08983688043847128
WGOA (701-1000 m),1990,NA,NA
WGOA (701-1000 m),1993,NA,NA
WGOA (701-1000 m),1996,NA,NA
WGOA (701-1000 m),1999,1679,5.955926146515784e-5
WGOA (701-1000 m),2001,NA,NA
WGOA (701-1000 m),2003,NA,NA
WGOA (701-1000 m),2005,3277.2,0.23914431620530044
WGOA (701-1000 m),2007,1942.9,0.09604364873504201
WGOA (701-1000 m),2009,719.4,0.548801506063759
WGOA (701-1000 m),2011,NA,NA
WGOA (701-1000 m),2013,NA,NA
WGOA (701-1000 m),2015,1147.2,0.9860650647705569
WGOA (701-1000 m),2017,NA,NA
WGOA (701-1000 m),2019,NA,NA
WGOA (701-1000 m),2021,NA,NA
